persondata.txt   v0.1 GAMMEL UTGAVE H2010   Kilder: Wikipedia, TMDb   -*- coding:us-ascii -*-
aak1	AAke Fridell
joh5	John Lasseter
joh6	John Wray
joh7	John Landis
joh8	John Morris
joh9	John Robinson
joh10	John Wayne
joh11	Johnny Depp
joh12	John Gavin
joh13	John Lee Hancock
joh14	John McEnery
joh15	John Lone
joh16	John Carpenter
joh17	John Shea
joh18	John McTiernan
joh19	John Cazale
joh20	John Savage
joh21	John Turturro
joh22	John Goodman
joh23	John Musker
joh24	John Malkovich
joh25	John Gielgud
joh26	Johanne-Marie Tremblay
joh27	John Cleese
joh28	John G. Avildsen
joh29	John Schlesinger
joh30	John Getz
joh31	John Guillermin
joh32	John Madden
joh33	John Travolta
joh34	Johnny A. Sanchez
joh35	John Cusack
joh36	John Belushi
joh37	John Vernon
joh38	Johan Kramer
joh39	Johan Libereau
joh40	Johanna Baer
joh41	Johanna Braddy
joh42	Johannah Newmarch
joh43	Johanna Kokko
joh44	Johanna Schall
joh45	Johanna ter Steege
joh46	Johanna von Koczian
joh47	Johanna Vuoksenmaa
joh48	Johanna Wokalek
joh49	Johannes Meyer
joh50	Johannes Schaaf
joh51	Johan Nijenhuis
joh52	Johan Widerberg
joh53	Jo Hartley
joh54	John 'Bud' Cardos
joh55	John 'Dusty' King
joh56	John A. Alonzo
joh57	John A. Davis
joh58	John Aasen
joh59	John Abbott
joh60	John Abraham
joh61	John Adames
joh62	John Agar
joh63	John Alan Schwartz
joh64	John Albasiny
joh65	John Alderman
joh66	John Alderton
joh67	John Ales
joh68	John Alexander
joh69	John Alex Toro
joh70	John Allen Nelson
joh71	John Altman
joh72	John Amos
joh73	John Amplas
joh74	John Anderson
joh75	John Aprea
joh76	John Archer
joh77	John Ashcroft
joh78	John Ashley
joh79	John Ashton
joh80	John Assaraf
joh81	John Astin
joh82	Johnathan Rice
joh83	Johnathon Schaech
joh84	John August
joh85	John Badham
joh86	John Baer
joh87	John Barresi
joh88	John Barrymore
joh89	John Bartha
joh90	John Batten
joh91	John Baxter
joh92	John Beal
joh93	John Beasley
joh94	John Beck
joh95	John Beckett
joh96	John Bedford Lloyd
joh97	John Benfield
joh98	John Benjamin Hickey
joh99	John Bennett
joh100	John Bennett Perry
joh101	John Beradino
joh102	John Berry
joh103	John Bicona
joh104	John Billingsley
joh105	John Binder
joh106	John Blackwell
joh107	John Blanchard
joh108	John Bliss
joh109	John Bloom
joh110	John Bluthal
joh111	John Bly
joh112	John Boles
joh113	John Bolger
joh114	John Bonham
joh115	John Bonito
joh116	John Bonney
joh117	John Boorman
joh118	John Boulting
joh119	John Bourgeois
joh120	John Boxer
joh121	John Boylan
joh122	John Bradshaw
joh123	John Brascia
joh124	John Breen
joh125	John Brinkley
joh126	John Brockman
joh127	John Brumpton
joh128	John Bruno
joh129	John Buckler
joh130	John Buckwalter
joh131	John Bussard
joh132	John Byner
joh133	John Byrum
joh134	John C. McGinley
joh135	John C. Reilly
joh136	John Cafiero
joh137	John Cairney
joh138	John Call
joh139	John Calvin
joh140	John Cameron Mitchell
joh141	John Canada Terrell
joh142	John Candy
joh143	John Carl Buechler
joh144	John Carroll Lynch
joh145	John Carter
joh146	John Cassavetes
joh147	John Cassini
joh148	John Cassisi
joh149	John Castle
joh150	John Cena
joh151	John Chaffey
joh152	John Cho
joh153	John Clark
joh154	John Clarke
joh155	John Clements
joh156	John Cliff
joh157	John Coffey
joh158	John Colicos
joh159	John Collin
joh160	John Coney
joh161	John Considine
joh162	John Corbett
joh163	John Cornell
joh164	John Cosgrove
joh165	John Cothran, Jr.
joh166	John Crawford
joh167	John Cromwell
joh168	John Crowley
joh169	John Croydon
joh170	John Cullum
joh171	John Curran
joh172	John Cuthbert
joh173	John D'Aquino
joh174	John D. Hancock
joh175	John D. Lamond
joh176	John D. LeMay
joh177	John Dahl
joh178	John Dall
joh179	John Damon
joh180	John Darrow
joh181	John Dau
joh182	John David Carson
joh183	John Davidson
joh184	John Davis Chandler
joh185	John Dean
joh186	John Dease
joh187	John De Bello
joh188	John Dehner
joh189	John de Lancie
joh190	John Dennis Johnston
joh191	John Denver
joh192	John Derek
joh193	John Diehl
joh194	John Dierkes
joh195	John Di Maggio
joh196	John Doman
joh197	John Drew Barrymore
joh198	John Duigan
joh199	John Dullaghan
joh200	John Durren
joh201	John E. Hudgens
joh202	John Elias Michalakis
joh203	John Emerson
joh204	John Emery
joh205	John Eng
joh206	John English
joh207	John Erick Dowdle
joh208	John Ericson
joh209	John Evans
joh210	John Ewart
joh211	John F. Cleary
joh212	John F. Hamilton
joh213	John Farrow
joh214	John Fawcett
joh215	John Fernside
joh216	John Fiedler
joh217	John Finnegan
joh218	John Fiorella
joh219	John Fleck
joh220	John Flynn
joh221	John Forsythe
joh222	John Fortenberry
joh223	John Foster
joh224	John Francis Daley
joh225	John Francis Dillon
joh226	John Frankenheimer
joh227	John Franklin
joh228	John Fraser
joh229	John Freedom Henry
joh230	John Friedrich
joh231	John Furey
joh232	John Furlong
joh233	John G. Adolfi
joh234	John G. Barrett
joh235	John G. Blystone
joh236	John G. Brennan
joh237	John Gallagher Jr.
joh238	John Garfield
joh239	John Garrick
joh240	John Gatins
joh241	John George
joh242	John Gilbert
joh243	John Gilling
joh244	John Glen
joh245	John Glover
joh246	John Golden
joh247	John Good
joh248	John Gordon Sinclair
joh249	John Gray
joh250	John Gregson
joh251	John Greyson
joh252	John Griffith Wray
joh253	John H. Auer
joh254	John H. Kafka
joh255	John H. Lee
joh256	John Halas
joh257	John Halliday
joh258	John Hallum
joh259	John Halsey
joh260	John Hamburg
joh261	John Hamilton
joh262	John Hannah
joh263	John Hargreaves
joh264	John Harkins
joh265	John Harlin
joh266	John Harlow
joh267	John Harrison
joh268	John Harron
joh269	John Hart
joh270	John Hassberger
joh271	John Hawkes
joh272	John Hay
joh273	John Hegel
joh274	John Heldabrand
joh275	John Henderson
joh276	John Henson
joh277	John Herman Shaner
joh278	John Herzfeld
joh279	John Hillcoat
joh280	John Hillerman
joh281	John Hindman
joh282	John Hodgman
joh283	John Hodiak
joh284	John Hoffman
joh285	John Holmes
joh286	John Hough
joh287	John Houseman
joh288	John Howard
joh289	John Howard Davies
joh290	John Hoyt
joh291	John Hubbard
joh292	John Hudson
joh293	John Hughes
joh294	John Hurt
joh295	John Ince
joh296	John Ingle
joh297	John Ireland
joh298	John Irvin
joh299	John Jarratt
joh300	John Junkin
joh301	John Justin
joh302	John Kani
joh303	John Karlen
joh304	John Kassir
joh305	John Kellogg
joh306	John Kerr
joh307	John King
joh308	John Kitzmiller
joh309	John Korty
joh310	John Krasinski
joh311	John La Bouchardiere
joh312	John Lafia
joh313	John Larkin
joh314	John Larroquette
joh315	John Laurie
joh316	John LaZar
joh317	John Leekley
joh318	John Leguizamo
joh319	John Le Mesurier
joh320	John Lennon
joh321	John Leslie
joh322	John Ley
joh323	John Leyton
joh324	John Light
joh325	John Limnidis
joh326	John Link Graney
joh327	John Litel
joh328	John Lithgow
joh329	John Livingston
joh330	John Loder
joh331	John Lodge
joh332	John Longden
joh333	John Louie
joh334	John Lounsbery
joh335	John Lund
joh336	John Lupton
joh337	John Lurie
joh338	John Lynch
joh339	John M. Jackson
joh340	John M. Stahl
joh341	John Mack Brown
joh342	John Mackenzie
joh343	John Maclaren
joh344	John Mahoney
joh345	John Mallory Asher
joh346	John Malloy
joh347	John Mariano
joh348	John Mark Byers
joh349	John Markoff
joh350	John Mark Robinson
joh351	John Marley
joh352	John Marshall
joh353	John Marston
joh354	John Matthew Matthan
joh355	John Matthews
joh356	John Matuszak
joh357	John Maxwell
joh358	John Maybury
joh359	John McCann
joh360	John McCurry
joh361	John McGiver
joh362	John McGuire
joh363	John McIntire
joh364	John McKay
joh365	John McKutcheon
joh366	John McLeish
joh367	John McLiam
joh368	John McNaughton
joh369	John Megna
joh370	John Meillon
joh371	John Merivale
joh372	John Merton
joh373	John Michael Graham
joh374	John Michael Higgins
joh375	John Michael Howson
joh376	John Mighton
joh377	John Milius
joh378	John Miljan
joh379	John Miller
joh380	John Mills
joh381	John Mitchum
joh382	John Moffitt
joh383	John Moore
joh384	John Mowood
joh385	John Murlowski
joh386	John Murray
joh387	John Myhre
joh388	John N. Smith
joh389	John Neville
joh390	John Newland
joh391	John Newton
joh392	John Nicolella
joh393	Johnnie Hill
joh394	Johnnie Taylor
joh395	Johnnie To
joh396	John Nolan
joh397	John Novak
joh398	John Nugent Hayward
joh399	Johnny Arthur
joh400	Johnny Crash
joh401	Johnny Crawford
joh402	Johnny Downs
joh403	Johnny Galecki
joh404	Johnny Hallyday
joh405	Johnny Kim
joh406	Johnny Knoxville
joh407	Johnny Lee
joh408	Johnny Lever
joh409	Johnny Mack Brown
joh410	Johnny Messner
joh411	Johnny Morris
joh412	Johnny Okura
joh413	Johnny Sekka
joh414	Johnny Sheffield
joh415	Johnny Silver
joh416	Johnny Simmons
joh417	Johnny Unwa
joh418	Johnny Vegas
joh419	Johnny Walker
joh420	Johnny Weissmuller
joh421	Johnny Whitaker
joh422	Johnny Whitworth
joh423	Johnny Williams
joh424	Johnny Yong Bosch
joh425	Johnny Yune
joh426	John O'Leary
joh427	John O'Mahony
joh428	John Omirah Miluwi
joh429	John Ortiz
joh430	John Osborne
joh431	John Ottman
joh432	John P. Navin Jr.
joh433	John P. Ryan
joh434	John P. Whitecloud
joh435	John Paddy Carstairs
joh436	John Paisley
joh437	John Pankow
joh438	John Pasquin
joh439	John Patrick Amedori
joh440	John Patrick Shanley
joh441	John Paul
joh442	John Paul Jones
joh443	John Paul Pitoc
joh444	John Paulsen
joh445	John Payne
joh446	John Payson
joh447	John Peakes
joh448	John Pearce
joh449	John Penney
joh450	John Pentecost
joh451	John Philliber
joh452	John Phillip Law
joh453	John Pieplow
joh454	John Pinette
joh455	John Polson
joh456	John Posey
joh457	John Power
joh458	John Putch
joh459	John Pyper-Ferguson
joh460	John Quade
joh461	John Qualen
joh462	John R. Cherry III
joh463	John R. Leonetti
joh464	John R. Reilly
joh465	John Raitt
joh466	John Ralston
joh467	John Ramsden,
joh468	John Rand
joh469	John Randolph
joh470	John Randolph Jones
joh471	John Ratzenberger
joh472	John Reinhardt
joh473	John Reynolds
joh474	John Rhys-Davies
joh475	John Rich
joh476	John Richardson
joh477	John Ridgely
joh478	John Ritter
joh479	John Roberts
joh480	John Roselius
joh481	John Rubano
joh482	John Rubinstein
joh483	John Russell
joh484	John S. Baker
joh485	John Salew
joh486	John Sanford
joh487	John Saxon
joh488	John Sayles
joh489	John Scagliotti
joh490	John Schuck
joh491	John Schultz
joh492	John Scott Martin
joh493	John Seeman
joh494	John Sessions
joh495	John Sham
joh496	John Sharian
joh497	John Shearin
joh498	John Shepphird
joh499	John Short
joh500	John Shrapnel
joh501	John Simm
joh502	John Simpson
joh503	John Singer
joh504	John Singleton
joh505	John Slattery
joh506	John Smith
joh507	John Sorbera
joh508	John Spencer
joh509	John St. Polis
joh510	John Stainton
joh511	John Standing
joh512	John Stanton
joh513	John Steadman
joh514	John Steiner
joh515	John Stevenson
joh516	John Stirratt
joh517	John Stockwell
joh518	John Stratton
joh519	John Stuart
joh520	John Sturges
joh521	John Sutton
joh522	John T. Dillon
joh523	John Tate
joh524	John Taylor
joh525	John Terlesky
joh526	John Terrence
joh527	John Terry
joh528	John Thaw
joh529	John Thomson
joh530	John Tormey
joh531	John Touhey
joh532	John Trubee
joh533	John Valby
joh534	John van Bruggen
joh535	John Ventimiglia
joh536	John Voldstad
joh537	John W. Bubbles
joh538	John Wakefield
joh539	John Warburton
joh540	John Warren
joh541	John Waters
joh542	John Welsh
joh543	John Wesley
joh544	John Wesley Shipp
joh545	John Westbrook
joh546	John White
joh547	John Whitesell
joh548	John Williams
joh549	John Witherspoon
joh550	John Womack Jr.
joh551	John Woo
joh552	John Wood
joh553	John Woodvine
joh554	John Young
joh555	John Zaremba
joi1	Joie Lee
joi2	Joi Lansing
joi3	Joi Wilson
joj1	Jo Jae-wan
joj2	Joji Matsuoka
joj3	Joji Yanami
jok1	Jo Kendall
jok2	Jo Kennedy
jok3	Joko Anwar
jol1	Jolanta Umecka
jol2	Jolie Vanier
jom1	J. Om Prakash
jom2	Jomari Yllana
jom3	Jo McInnes
jom4	Jo Morrow
jom5	Jo Myeong-hwa
jon1	Jonathan Taylor Thomas
jon2	Jonathan Demme
jon3	Jonathan Dayton
jon4	Jonathan Mostow
jon5	Jon Voight
jon6	Jonathan Kaplan
jon7	Jonathan Lynn
jon8	Jonathan Benson
jon9	Jon Blair
jon10	Jonathan Ke Quan
jon11	Jon Abrahams
jon12	Jonah Blechman
jon13	Jonah Bobo
jon14	Jonah Hill
jon15	Jon Amiel
jon16	Jonan Everett
jon17	Jonas AAkerlund
jon18	Jonas Abry
jon19	Jonas Elmer
jon20	Jonas Inde
jon21	Jonas Karlsson
jon22	Jonas Lawes
jon23	Jonas Pate
jon24	Jonathan Adams
jon25	Jonathan B. Wright
jon26	Jonathan Banks
jon27	Jonathan Bennett
jon28	Jonathan Blitstein
jon29	Jonathan Bowater
jon30	Jonathan Brandis
jon31	Jonathan Breck
jon32	Jonathan Brewer
jon33	Jonathan C. Green
jon34	Jonathan Caouette
jon35	Jonathan Chang
jon36	Jonathan Chase
jon37	Jonathan Cherry
jon38	Jonathan English
jon39	Jonathan Frakes
jon40	Jonathan Freeman
jon41	Jonathan Frid
jon42	Jonathan Fried
jon43	Jonathan Glazer
jon44	Jonathan Haagensen
jon45	Jonathan Hale
jon46	Jonathan Hales
jon47	Jonathan Harris
jon48	Jonathan Haze
jon49	Jonathan Heap
jon50	Jonathan Hensleigh
jon51	Jonathan Hernandez
jon52	Jonathan Higgins
jon53	Jonathan Hyde
jon54	Jonathan Ibbotson
jon55	Jonathan Isgar
jon56	Jonathan Jackson
jon57	Jonathan Ledford
jon58	Jonathan Levine
jon59	Jonathan Liebesman
jon60	Jonathan Lipnicki
jon61	Jonathan Lucas
jon62	Jonathan M. Parisen
jon63	Jonathan Mason
jon64	Jonathan Miller
jon65	Jonathan Nossiter
jon66	Jonathan Penner
jon67	Jonathan Potts
jon68	Jonathan Prince
jon69	Jonathan Pryce
jon70	Jonathan R. Betuel
jon71	Jonathan Readwin
jon72	Jonathan Reiss
jon73	Jonathan Rhys-Meyers
jon74	Jonathan Rhys Meyers
jon75	Jonathan Sadowski
jon76	Jonathan Safran Foer
jon77	Jonathan Sagall
jon78	Jonathan Schwartz
jon79	Jonathan Scott-Taylor
jon80	Jonathan Silverman
jon81	Jonathan Stark
jon82	Jonathan Teplitzky
jon83	Jonathan Tucker
jon84	Jonathan Velasquez
jon85	Jonathan Walker
jon86	Jonathan Ward
jon87	Jonathan Warden
jon88	Jonathan Winters
jon89	Jonathan Wise
jon90	Jonathan Zaccai
jon91	Jon Avnet
jon92	Jon Bon Jovi
jon93	Jon Budinoff
jon94	Jon Chang
jon95	Jon Chevalier
jon96	Jon Chu
jon97	Jon Clair
jon98	Jon Cryer
jon99	Jon Cunningham
jon100	Jon Cypher
jon101	Jon Darling
jon102	Jon Delfin
jon103	Jon Devore
jon104	Jones
jon105	Jon Favreau
jon106	Jon Finch
jon107	Jon Foster
jon108	Jong-hak Baek
jon109	Jong-seok Yoon
jon110	Jon Gries
jon111	Jon Hall
jon112	Jon Harmon Feldman
jon113	Jon Heder
jon114	Jon Hurwitz
jon115	Jon Kasdan
jon116	Jon Kit Lee
jon117	Jon Korkes
jon118	Jon Lovitz
jon119	Jon Mallard
jon120	Jon McBride
jon121	Jon Mikl Thor
jon122	Jon Morrison
jon123	Jonny Campbell
jon124	Jonny Lee Miller
jon125	Jon Pennell
jon126	Jon Pertwee
jon127	Jon Polito
jon128	Jon Poll
jon129	Jon Robin Baitz
jon130	Jon Seda
jon131	Jon Sklaroff
jon132	Jon Stafford
jon133	Jon Stewart
jon134	Jon Tenney
jon135	Jon Turteltaub
jon136	Jon Van Ness
jon137	Jon Whiteley
joo1	Joo Eun-young Hee
joo2	Joo Hyun
joo3	Joon-ho Bong
joo4	Joone
joo5	Joon Park
jop1	Jo Prestia
jor1	Jordan Nagai
jor2	Jordan
jor3	Jordana Brewster
jor4	Jordana Spiro
jor5	Jordan Brady
jor6	Jordan Chan
jor7	Jordan Cook
jor8	Jordan Fry
jor9	Jordan Ladd
jor10	Jordan Madley
jor11	Jordan Mott
jor12	Jordan Roberts
jor13	Jordan Susman
jor14	Jordan Taylor
jor15	Jordi Molla
jor16	Jorge Ali Triana
jor17	Jorge Almeida
jor18	Jorge Blanco
jor19	Jorge Bolani
jor20	Jorge D'Elia
jor21	Jorge Furtado
jor22	Jorge Garcia
jor23	Jorge Grau
jor24	Jorge Luke
jor25	Jorgen Lindstrom
jor26	Jorge Perugorria
jor27	Jorge Rivero
jor28	Jorge Russek
jor29	Jorge Salinas
jor30	Jorge Sanz
jor31	Jorg Graser
jor32	Joris Jarsky
jor33	Jorja Fox
jor34	Jorma Taccone
jos1	Joseph Cotten
jos2	Josef Sommer
jos3	Joseph Bologna
jos4	Joss Whedon
jos5	Josh Brolin
jos6	Joseph L. Mankiewicz
jos7	Joseph Gordon-Levitt
jos8	Josh Hartnett
jos9	Joseph Fiennes
jos10	Jose Alvarenga Jr.
jos11	Jose Angel Egido
jos12	Jose Calvo
jos13	Jose Dumont
jos14	Jose Elias Moreno
jos15	Josef Bierbichler
jos16	Jose Ferrer
jos17	Josef Fares
jos18	Josefine Domes
jos19	Josef Mach
jos20	Josef Meinrad
jos21	Josef Rusnak
jos22	Josef Somr
jos23	Josef Swickard
jos24	Josef von Baky
jos25	Josef von Sternberg
jos26	Jose Isbert
jos27	Jose Iturbi
jos28	Jose Leitao de Barros
jos29	Jose Lewgoy
jos30	Jose Lopez Rodero
jos31	Jose Luis Borau
jos32	Jose Luis de Villalonga
jos33	Jose Luis Garci
jos34	Jose Luis Gomez
jos35	Jose Luis Lopez Vazquez
jos36	Jose Luis Marques
jos37	Jose Luis Moreno
jos38	Jose Maria Zabalza
jos39	Jose Pablo Cantillo
jos40	Joseph A. Carpenter
jos41	Joseph Anthony
jos42	Joseph Barbera
jos43	Joseph Bennett
jos44	Joseph Blaire
jos45	Joseph Blatchley
jos46	Joseph Bottoms
jos47	Joseph Boudreaux
jos48	Joseph Cali
jos49	Joseph Calleia
jos50	Joseph Campanella
jos51	Joseph Campbell
jos52	Joseph Casaliggi
jos53	Joseph Cawthorn
jos54	Joseph Cedar
jos55	Joseph Cellini
jos56	Joseph Chan
jos57	Joseph Corey
jos58	Joseph Cortese
jos59	Joseph Cousins
jos60	Joseph Cross
jos61	Joseph D. Reitman
jos62	Joseph E. Merideth
jos63	Joseph Egger
jos64	Joseph Gehrard
jos65	Joseph Gian
jos66	Joseph Goebbels
jos67	Joseph H. Lewis
jos68	Joseph Henabery
jos69	Joseph Hoover
jos70	Joseph Hudgins
jos71	Josephine Byrnes
jos72	Josephine Chaplin
jos73	Josephine Crowell
jos74	Josephine Dunn
jos75	Josephine Eberhard
jos76	Josephine Hull
jos77	Josephine Hutchinson
jos78	Josephine Koo
jos79	Josephine Siao
jos80	Joseph Kahn
jos81	Joseph Kaiser
jos82	Joseph Kane
jos83	Joseph Kaufmann
jos84	Joseph Kilgour
jos85	Joseph Klein
jos86	Joseph Latimore
jos87	Joseph Lawrence
jos88	Joseph Lerner
jos89	Joseph Long
jos90	Joseph Losey
jos91	Joseph M. Newman
jos92	Joseph Maher
jos93	Joseph Mascolo
jos94	Joseph May
jos95	Joseph Mazzello
jos96	Joseph McFadden
jos97	Joseph McGrath
jos98	Joseph McKelheer
jos99	Joseph Momo
jos100	Joseph P. Reidy
jos101	Joseph Pevney
jos102	Joseph Pilato
jos103	Joseph Rigano
jos104	Joseph Ruben
jos105	Joseph Runningfox
jos106	Joseph Ruskin
jos107	Joseph Santley
jos108	Joseph Sargent
jos109	Joseph Schaffler
jos110	Joseph Schildkraut
jos111	Joseph Schrode
jos112	Joseph Scoren
jos113	Joseph Shiloach
jos114	Joseph Sirola
jos115	Joseph Sterling
jos116	Joseph Strick
jos117	Joseph Thiaka
jos118	Joseph V. Mascelli
jos119	Joseph W. Girard
jos120	Joseph Wiseman
jos121	Joseph Ziegler
jos122	Joseph Zito
jos123	Josep Maria Pou
jos124	Jose Pomedio Monedero
jos125	Jose Puyol
jos126	Jose Quintero
jos127	Jose Ramon Larraz
jos128	Jose Sacristan
jos129	Jose Santiso
jos130	Jose Suarez
jos131	Jose Thelman
jos132	Jose Torvay
jos133	Josette Day
jos134	Jo Seung-woo
jos135	Jose Wilker
jos136	Jose Zuniga
jos137	Josh Albee
jos138	Josh Becker
jos139	Josh Binney
jos140	Josh Charles
jos141	Josh Duhamel
jos142	Josh Flitter
jos143	Josh Gordon
jos144	Josh Grace
jos145	Josh Hamilton
jos146	Josh Henderson
jos147	Josh Holloway
jos148	Josh Hutcherson
jos149	Josh Keaton
jos150	Josh Kornbluth
jos151	Josh Lucas
jos152	Josh McLaglen
jos153	Josh Mostel
jos154	Josh Pais
jos155	Josh Pate
jos156	Josh Peck
jos157	Josh Stamberg
jos158	Josh Stewart
jos159	Josh Stolberg
jos160	Joshua Bednarsky
jos161	Joshua Butler
jos162	Joshua Close
jos163	Joshua Cox
jos164	Joshua DesRoches
jos165	Joshua Harto
jos166	Joshua Jackson
jos167	Joshua John Miller
jos168	Joshua Leonard
jos169	Joshua Logan
jos170	Joshua Malina
jos171	Joshua Marston
jos172	Joshua Peace
jos173	Joshua Schaefer
jos174	Joshua Seth
jos175	Joshua Shalikar
jos176	Joshua Sinclair
jos177	Joshua Taylor
jos178	Josh Zuckerman
jos179	Josiah Kibira
jos180	Josie Bissett
jos181	Josie Cotton
jos182	Josie Lawrence
jos183	Josie Maran
jos184	Josita Hernan
jos185	Jo Soares
jos186	Joss Ackland
jos187	Josse De Pauw
jos188	Joss Saltzman
jos189	Jos van der Donk
jos190	Joszef Gyabronka
jov1	Jo Van Fleet
joy1	Joy Behar
joy2	Joy Boushel
joy3	Joy Bryant
joy4	Joyce Barbour
joy5	Joyce Brothers
joy6	Joyce Bryant
joy7	Joyce Carey
joy8	Joyce Chopra
joy9	Joyce Compton
joy10	Joyce Grenfell
joy11	Joyce Haber
joy12	Joyce Hyser
joy13	Joyce Jameson
joy14	Joyce Mackenzie
joy15	Joyce Redman
joy16	Joyce Taylor
joy17	Joyce Terry
joy18	Joyce Thi Brew
joy19	Joyce Van Patten
joy20	Joyce Walker
joy21	Joyce Wieland
joy22	Jo Yeo-jeong
joy23	Joy Harmon
joy24	Jo yi-jin
joy25	Joy Nichols
joy26	Jo Yoon-hee
joz1	Jozef Kroner
joz2	Jozsef Gyabronka
jpa1	J. Pat O'Malley
jpa2	J. Patrick McNamara
jpd1	J.P.Dutta
jps1	J. P. Schaefer
jrb1	JR Bourne
jrn1	Jr. NTR
jro1	J. Robert Wagoner
jrv1	J.R. Villarreal
jsc1	J.S. Cardone
jse1	J. Searle Dawley
jsm1	J. Smith-Cameron
jst1	J. Stephen Peace
jst2	J. Stuart Blackton
jsu1	Jsu Garcia
jtr1	J. Trevor Edmond
jts1	J.T.S. Moore
jtw1	J. T. Walsh
jua1	Juana Collignon
jua2	Juan Bustillo Oro
jua3	Juan Carlos Desanzo
jua4	Juan Carlos Fresnadillo
jua5	Juan Carlos Ortuno
jua6	Juan Carlos Serran
jua7	Juancho Gutierrez
jua8	Juan de la Cruz
jua9	Juan de Landa
jua10	Juan de Orduna
jua11	Juan Diego
jua12	Juan Diego Botto
jua13	Juan Echanove
jua14	Juan Fernandez
jua15	Juan Gabriel Yacuzzi
jua16	Juan Gerard
jua17	Juanin Clay
jua18	Juanita Brown
jua19	Juanita Hall
jua20	Juanita Jennings
jua21	Juanita Moore
jua22	Juanita Vera
jua23	Juan Jose Jusid
jua24	Juan Luis Bunuel
jua25	Juan Luis Galiardo
jua26	Juanma Bajo Ulloa
jua27	Juano Hernandez
jua28	Juan Pablo Buscarini
jua29	Juan Pablo Rebella
jua30	Juan Padron
jua31	Juan Palomino
jua32	Juan Piquer Simon
jua33	Juan Taratuto
jua34	Juan Torena
jua35	Juan Uribe
jua36	Juan Viadas
jud1	Judy Davis
jud2	Jude Law
jud3	Judi Dench
jud4	Judy Garland
jud5	Judy Morris
jud6	"Judge" Henry Dupree
jud7	Judah Friedlander
jud8	Judd Apatow
jud9	Judd Hirsch
jud10	Judd Holdren
jud11	Judd Nelson
jud12	Judd Omen
jud13	Jude Farese
jud14	Judge Reinhold
jud15	Judiann Barnes
jud16	Judie Aronson
jud17	Judi Farr
jud18	Judi Meredith
jud19	Judit Elek
jud20	Judith Anderson
jud21	Judith Baldwin
jud22	Judith Barsi
jud23	Judith Evelyn
jud24	Judith Godreche
jud25	Judith Hoag
jud26	Judith Ivey
jud27	Judith Kahan
jud28	Judith Light
jud29	Judith Lowry
jud30	Judith Lucy
jud31	Judith Malina
jud32	Judith McConnell
jud33	Judith O'Dea
jud34	Judith Ransdell
jud35	Judith Ridley
jud36	Judith Roberts
jud37	Judith Scott
jud38	Judith Shekoni
jud39	Judith Stratford
jud40	Judith Thayenthal
jud41	Judit Pogany
jud42	Judi West
jud43	Judson Mills
jud44	Judson Pratt
jud45	Jud Taylor
jud46	Judy Adler
jud47	Judy Bamber
jud48	Judy Campbell
jud49	Judy Canova
jud50	Judy Collins
jud51	Judy Dick
jud52	Judy Engles
jud53	Judy Geeson
jud54	Judy Greer
jud55	Judy Holiday
jud56	Judy Holliday
jud57	Judy Irving
jud58	Judy King
jud59	Judy Kuhn
jud60	Judy Landers
jud61	Judy Parfitt
jud62	Judy Singer
jud63	Judy Tyler
jue1	Jue Huang
jue2	Jue Jing
jug1	Jugal Hansraj
juh1	Ju-hye Ko
juh2	Juha-Pekka Mikkola
juh3	Juhi Chawla
juk1	Jukichi Uno
jul1	Juliette Binoche
jul2	Julie Andrews
jul3	Julie Christie
jul4	Juliusz Machulski
jul5	Juliane Kohler
jul6	Julie Taymor
jul7	Julian Sands
jul8	Julianne Moore
jul9	Julia Roberts
jul10	Julanne Johnston
jul11	Jules
jul12	Jules Bass
jul13	Jules Dassin
jul14	Jules Hamel
jul15	Jules Munshin
jul16	Jules Naudet
jul17	Jules Raucourt
jul18	Jules White
jul19	Julia Barth
jul20	Julia Blake
jul21	Julia Caesar
jul22	Julia Campbell
jul23	Julia Dean
jul24	Julia Faye
jul25	Julia Fletcher
jul26	Julia Foster
jul27	Julia Hummer
jul28	Julia Jentsch
jul29	Julia Louis-Dreyfus
jul30	Julia Meade
jul31	Julia Montgomery
jul32	Juliana Dever
jul33	Juliana Donald
jul34	Julian Amyes
jul35	Julian Arahanga
jul36	Julian Burrough
jul37	Julian Burton
jul38	Julian Fellowes
jul39	Julian Firth
jul40	Julian Garner
jul41	Julian Glover
jul42	Julian Hernandez
jul43	Julia Nickson
jul44	Julian Jarrold
jul45	Julian Lewis Jones
jul46	Julian Madison
jul47	Julian Mateos
jul48	Julian McMahon
jul49	Julian Morton
jul50	Julianna Guill
jul51	Julianna Lavin
jul52	Julianna Margulies
jul53	Julianna McCarthy
jul54	Julianne Nicholson
jul55	Julian Richards
jul56	Julian Richings
jul57	Julian Schnabel
jul58	Julian Scott Urena
jul59	Julian Stone
jul60	Julian Thomas
jul61	Julian Wadham
jul62	Julian Weigend
jul63	Julian Wells
jul64	Julian West
jul65	Julia Ormond
jul66	Julia Rayner
jul67	Julia Saly
jul68	Julia Sawalha
jul69	Julia Stiles
jul70	Julia Sweeney
jul71	Julia Winter
jul72	Julie Adams
jul73	Julie Anne Haddock
jul74	Julie Ann Emery
jul75	Julie Bennett
jul76	Julie Benz
jul77	Julie Bertucelli
jul78	Julie Bishop
jul79	Julie Bovasso
jul80	Julie Bowen
jul81	Julie Brown
